prompt,prompt_len,target
Pakistani Student Wins Top European Rights Award.,10,0
"As Violence Continues, Egyptian General Blames Protesters.",12,0
Syrian Rebels Meet Setbacks on a New Front.,12,1
Tunisians Vote in a Milestone of Arab Change.,12,1
"Chastened King Seeks Redemption, for Spain and His Monarchy.",15,1
"Justin Trudeau, Son of a Canadian Leader, Follows His Own Path to Power.",17,1
2 Police Lives Lost Are the Focus in Mississippi.,11,1
Steps Point to Possible Swap of Spy Suspects With Russia.,13,1
"As Netanyahu Seeks Re-election, the Future of the West Bank Is Now on the Ballot.",21,1
Ads Attacking Health Law Stagger Outspent Democrats.,12,1
Donald Trump’s Business Dealings Test a Constitutional Limit.,13,1
Trump Says He Is ‘Considering’ Hosting G7 Summit at Camp David.,16,0
"Spain’s Premier Steps Up, With Caveats for Europe.",14,0
Service Members Are Left in Dark on Health Errors.,11,1
U.K. Orders New Inquiry Into Contaminated-Blood Scandal.,15,0
Biden’s Choice of Vilsack for U.S.D.A. Raises Fears for Small Farmers.,24,1
‘A Sense of Dread’ for Civil Servants Shaken by Trump Transition.,16,1
Insider’s Account of How Graft Fed Brazil’s Political Crisis.,16,1
U.S. to Curb Queries on Criminal Histories of Government Job Seekers.,17,0
Trump Administration Wants California to Pay Back $2.5 Billion for High-Speed Rail.,19,1
"Donald Trump Thrusts Taiwan Back on the Table, Rattling a Region.",16,1
"After Election, Trump’s Professed Love for Leaks Quickly Faded.",16,1
"A Surface Calm, Punctured by Artillery and Weary Arguments.",14,1
"In Hospital Decision, Obama Finds Safe Ground on Gay Rights.",13,0
Myanmar’s Ethnic Minorities Grow Pessimistic About Peace.,14,0
A Rabbi’s Enduring Sermon on Living Your Last Five Minutes.,15,0
Cuba’s Zeal for Tight Control Casts a Pall on New Markets.,16,1
"Once Snubbed, David Brat Turns the Tables.",12,1
Israel Denies Claims That Syria Shot Down Warplane and Drone.,14,0
Oracle Providing White House With Software to Study Unproven Coronavirus Drugs.,14,0
Khashoggi’s Disappearance Puts Kushner’s Bet on Saudi Crown Prince at Risk.,22,1
"In Xi Jinping’s Tears, a Message for China’s People.",16,0
"Puerto Rico Supreme Court Ousts New Governor, and Another Is Sworn In.",18,1
Texas State Senator Says Bid for Governor Is Possible.,11,0
Snow in the Sahara Creates White-Capped Dunes of Eerie Beauty.,16,0
Cultural Clash Fuels Muslims Angry at Online Video.,10,1
"Xi Declares War on Food Waste, and China Races to Tighten Its Belt.",18,1
Rabbis Protest Trump’s Comments by Boycotting Conference Call.,15,1
Soldier Admits Providing Files to WikiLeaks.,10,1
"Trump, Aiming to Coax Xi Jinping, Bets on Flattery.",16,1
South Carolina Police Shooting Seen as Crime Strategy Gone Awry.,13,1
Financial Aid Is Restored for Prisoners as Part of the Stimulus Bill.,15,0
Capitol Leaders Agree to a Deal on the Budget.,11,1
Senate Is Set to Extend Aid to the Jobless.,12,1
"In Link to Caucasus, Russia Faces Old Problem.",11,0
"Buon Appetito, but Not Next to the Monuments.",12,1
Life in Quarantine for Ebola Exposure: 21 Days of Fear and Loathing.,18,1
Sri Lanka Attacks: Hometown of Accused Mastermind Was Fertile Ground for Extremism.,20,1
Trump Team Met With Lawyer Linked to Kremlin During Campaign.,12,1
"Surrogates and Couples Face a Maze of Laws, State by State.",15,1
"A Snapshot of Students Lost: Young and Old, but All Striving .",16,1
"Richard H. Poff, Who Withdrew Court Bid, Dies at 87.",19,0
How Paul Manafort Wielded Power in Ukraine Before Advising Donald Trump.,16,1
Resisting by Raising a Glass.,8,0
German Priests Carried Out Sexual Abuse for Years.,10,0
How the House Fell: Republican Chaos and Democratic Focus.,12,1
Election Violence Flares in Haiti.,8,1
"Masquerading as Reporter, Assassin Hunted Putin Foes in Ukraine.",16,1
Hospital Mergers Reset Abortion-Access Battle.,10,0
When States Shut Down for Business.,8,0
"Leaked Fuel Lures Needy Kenyans, Then Ignites.",14,0
"Soccer and Internal Discord, on Display for World to See.",13,0
"Craving Freedom, Japan’s Women Opt Out of Marriage.",14,1
"G.O.P. Alarmed by Trump’s Comments on Extremist Group, Fearing a Drag on the Party.",27,1
"In Major Defeat for Trump, Push to Repeal Health Law Fails.",15,1
Trump Blocks Release of Memo Rebutting Republican Claims.,12,1
Berlin Exhibition on Judaism Hits a Nerve.,9,0
Saudi King’s Son Plotted Effort to Oust His Rival.,15,1
U.S. Is a Top Villain in Pakistan’s Conspiracy Talk.,16,1
Justices Weigh Race as Factor at Universities.,10,1
"Kamala Harris, Elizabeth Warren and Other Democrats Shift Into High Gear for 2020.",21,1
Detainee in Iraq Poses a Dilemma as U.S. Exit Nears.,19,1
"In Nagorno-Karabakh Peace Deal, Putin Applied a Deft New Touch.",19,1
Budget Deal Offers a Reprieve From Washington Paralysis.,12,1
‘We Cannot Afford This’: Malaysia Pushes Back Against China’s Vision.,17,1
Trump and His Lawyers Embrace a Vision of Vast Executive Power.,13,1
Wanted in Saudi Arabia: Executioners.,9,0
Trump Offers Temporary Protections for ‘Dreamers’ in Exchange for Wall Funding.,17,1
Transgender People Will Be Allowed to Serve Openly in Military.,14,0
C.I.A. Had Evidence of Russian Effort to Help Trump Earlier Than Believed.,20,1
"With $350 Billion Plan, Hillary Clinton Prods Rivals on Student Debt.",18,1
South Korea Vote Will Change Policy Toward North.,10,0
Republicans Rebuke Trump for Siding With Putin as Democrats Demand Action.,15,1
Obama Is Seen as Frustrating His Own Party.,11,1
Death of Rebel Leader Stirs Fears of Tribal Conflict.,12,0
South Korean Leader Boxed In as Trump Threatens North Korea.,14,1
"Warren and Sanders, and Their Messages of Change, Dominate the Money Race.",17,0
Clinton Calls for Expanding Economic Opportunities.,8,0
"Once a Qaeda Recruiter, Now a Voice Against Jihad.",13,1
Collaboration in Gaza Leads to Grisly Fate.,10,1
"Bangladesh Pollution, Told in Colors and Smells.",11,1
Trapped Chilean Miners Forge Refuge.,8,1
"In Syria, Battles for Aleppo Seem as Endless as the War Itself.",15,0
Obama’s Visit to Israel Renews Effort to Free Spy.,14,0
A Taste of Hope Sends Refugees Back to Darfur.,11,1
Turkish President Returns to Istanbul in Sign Military Coup Is Faltering.,14,1
Boys Freed From Thai Cave Enter Monkhood to Honor Fallen Rescuer.,15,0
Kenyans Fear Chinese-Backed Railway Is Another ‘Lunatic Express’.,17,0
Panetta Set to Discuss U.S. Shift in Asia Trip.,15,0
New Pope Shifts Church’s Center of Gravity Away From Europe.,14,1
"Forceful Chief of Staff Grates on Trump, and the Feeling Is Mutual.",17,1
Battle Lines Over Trump’s Lands Policy Stretch Across 640 Million Acres.,18,0
"In Manchester, a Loud Bang, Silence, Then Screaming and Blood.",16,1
"After Shake-Up by Trump, Clinton Camp Keeps Wary Eye on ‘Conspiracy Theories’.",20,0
Israel Election Result Complicates Life for Clinton.,10,1
"20 Years After Rabin, Israeli Politics Have Shifted.",13,0
Rural Indiana Struggles to Contend With H.I.V. Outbreak.,17,1
The Persian Rug May Not Be Long for This World.,12,0
"Despite Good Intentions, a Fresco in Spain Is Ruined.",14,0
"Citing Violence, Bahrain Bans All Protests in New Crackdown.",15,0
Iran Presses for Official to Be Next Leader of Shiites.,13,1
Merkel Cites ‘Threats’ in Warning to Cameron.,13,0
Trump and Netanyahu Put Bipartisan Support for Israel at Risk.,13,1
Indian Billionaires Bet Big on Head Start in Coronavirus Vaccine Race.,14,1
Fraud Arrests May Be Turning Point for Polygamist Sect.,14,0
Israeli Soldier Who Shot Wounded Palestinian Criticizes Superiors.,13,0
Fiancée Sues Saudi Crown Prince Over Khashoggi Killing.,15,0
Debt Impasse Shadows Race for Presidency.,9,1
"As New Rules Take Effect, Voters Report Problems in Some States.",14,0
‘Shaken’ Rosenstein Felt Used by White House in Comey Firing.,17,1
Chance for Tax Overhaul Is Seen in Shift of Power .,13,1
"Trendy Spot Urges Tourists to Ride In and Spend, ‘Gangnam Style’.",18,1
"Holding Their Noses, Louisiana Officials Act to Narrow State Budget Gaps.",15,0
Young Saudis See Cushy Jobs Vanish Along With Nation’s Oil Wealth.,18,1
"Unwilling to Allow His Wife a Divorce, He Marries Another.",15,1
"Threats to Voting Rights Remain, Selma Gathering Is Told.",12,0
Protest’s Old Guard Falls In Behind the Young.,12,1
Michelle Obama Tops Opening Night for Democrats.,9,1
Judge Upholds N.S.A.’s Bulk Collection of Data on Calls.,19,1
Israeli Rules Out Palestinian State by 2012.,13,0
Militants and Refugees Return to Syria Under Cease-Fire Deal.,15,0
At Least 6 Are Killed in Random Shootings in Kalamazoo.,14,0
"Justice Dept., Under Siege From Trump, Plows Ahead With His Agenda.",16,1
"As Voters on Left and Right Rebel, Glimpse of a Post-Merkel Germany.",20,0
Businesswoman’s Fate a Test of China’s Resolve on North Korea.,17,1
Bloc in Europe Starts to Balk Over Austerity .,12,1
F.A.A. Rules Would Limit Commercial Drone Use.,14,0
"Anatomy of a Los Angeles Police Shooting: A Black Teenager, a Missing Gun, Protests, Grief.",23,0
Turkey: Ferry Hijacker Killed.,8,0
China and India Are Sitting Out Refugee Crisis.,10,0
Captive Soldiers Tell of Discord in Libyan Army.,11,1
When ‘Black Lives Matter’ Is Invoked in the Abortion Debate.,15,1
"Taliban Flag Is Gone in Qatar, but Talks Remain in Doubt.",15,0
Arrests and Violence at Overflowing Rally in Moscow.,12,0
Egyptians Say Military Discourages an Open Economy.,13,1
Iran Moves to Increase Uranium Enrichment and Bar Nuclear Inspectors.,12,1
"Despite Big Promises, U.S. Has Delivered Limited Aid in Global Virus Response.",18,0
Boy Scouts’ President Calls for End to Ban on Gay Leaders.,14,1
4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers.,13,0
"Fighting Starvation, Haitians Share Portions.",10,0
"U.S. Says Russia Tested Missile, Despite Treaty.",13,1
"Donald Trump Talks at Debate, but Many Women Hear Only a 2005 Tape.",20,1
Impeachment Investigators Exploring Whether Trump Lied to Mueller.,12,1
"Frank Mankiewicz, 90, Press Aide to Robert Kennedy and NPR Chief, Dies.",20,0
Justices Won’t Revive Order Barring Voter Intimidation in Ohio.,18,0
‘We Are Not Going to Lie Down’: A Coronavirus Revolt in England.,16,0
"Even When They Lost Their Jobs, Immigrants Sent Money Home.",13,0
"Duterte Says, ‘My Only Sin Is the Extrajudicial Killings’.",16,0
"Prof. Philip E. Converse, Expert on How Voters Decide, Dies at 86.",20,0
Greece: Sixth General Strike Scheduled for Next Week.,11,0
Leaders at Work on Plan to Avert Mandatory Cuts.,12,1
"Pope Francis, Catholics and Lutherans Will Recall Reformation.",12,0
How Trump’s Rush to Enact an Immigration Ban Unleashed Global Chaos.,17,1
First Companies Give to Fund for Victims of Bangladeshi Factory Collapse.,14,0
Crossed Paths: Chicago’s Jacksons and Obamas.,14,1
"Kansas Limits Abortion Method, Opening a New Line of Attack.",13,1
"Even on Nantucket, a Funeral Home Is a Luxury.",12,0
Cornel West Will Return to Teach at Harvard.,11,0
Militant Leader Known for Daring Escape Is Gunned Down in Kashmir.,16,0
"Mexico Breaks Up a Migrant Caravan, Pleasing White House.",13,0
"In Latin America, the Pandemic Threatens Equality Like Never Before.",14,1
Global Digital News Brands See Growth Opportunity in India.,11,1
"In India, a Small Band of Women Risk It All for a Chance to Work.",18,1
Detainees Barred From Access to U.S. Courts.,15,1
Spring Harvest of Debt for Parched Farms in Southern China.,13,0
"Pope’s Death Penalty Stance Won’t Stop Execution, Nebraska’s Catholic Governor Says.",21,1
Adding to Unease of a Drug War Alliance.,11,0
Marco Rubio Bets the Grand Old Party Is Ready for His Younger Face.,15,0
Obama Pushes Iraqis to Mend Sectarian Rifts.,13,1
‘I Should Be More Careful With Twitter’: Marianne Williamson on Those Mental Health Comments.,18,0
Iraq Election Results Hint of Political Shift.,9,0
How Kirsten Gillibrand’s Presidential Dreams Unraveled.,13,1
"South Koreans, Seeking New Zest for Life, Experience Their Own Funerals.",17,0
‘It Is Not a Closet. It Is a Cage.’ Gay Catholic Priests Speak Out.,19,1
"For a Change, Texans in Houston Dress the Part.",12,0
Friend Says Trump Is Considering Firing Mueller as Special Counsel.,12,1
China to Announce Cap-and-Trade Program to Limit Emissions.,15,1
Turkey Punishes 2 Opposition Leaders as Crackdown Continues.,13,0
"In Latin America, the Pandemic Threatens Equality Like Never Before.",14,1
"William Borders, Former Times Reporter and Editor, Dies at 79.",16,0
"Truth in a Post-Truth Era: Sandy Hook Families Sue Alex Jones, Conspiracy Theorist.",20,1
‘Gang of Six’ in the Senate Seeking a Plan on Debt.,15,1
"As Trump Swerves on Trade War, It’s Whiplash for the Rest of the World.",21,1
"In Germany’s Capitals, Cold War Memories and Imperial Ghosts.",14,0
Marco Rubio Quietly Undermines Affordable Care Act.,11,1
Myanmar and U.N. Agree to Aim for Repatriation of Rohingya.,18,0
China and Russia Fail to Reach Deal on Gas Plan.,12,0
"Pulling Away From Bernie Sanders, Hillary Clinton Is Turning to the Fall.",15,1
Uncharted Ground After End of Egypt’s Regime.,12,1
"Crowds Return to Las Vegas, but Gamble Less.",12,1
At Least 15 Die in Kenya Church Attacks.,12,0
"Clout Diminished, Tea Party Turns to Narrower Issues.",14,1
"Bonuses Aside, Tax Law’s Trickle-Down Impact Not Yet Clear.",17,1
"Trump Can Sell an Improved Economy, but Not Himself.",12,1
African Court Convicts Captain of Renegade Ship in Illegal Fishing Case.,15,0
Fires Still Burning in Aftermath of Deadly Venezuela Blast.,12,0
Merkel Visits Flood-Stricken Regions of Germany.,13,0
"From Embattled Pope, Praise for a Predecessor.",13,0
A ‘Terrifying’ Coronavirus Surge Will Land in Biden’s Lap.,16,1
"Ukraine Bus Driver Pulls Into Train Path, Killing 41.",15,0
"Archie Spigner, ‘Godfather of Politics’ in Queens, Dies at 92.",20,0
"In Iran, Hopes Fade for Surge in the Economy.",12,1
Chinese Remake the ‘Made in Italy’ Fashion Label.,12,1
New Freedoms in Tunisia Drive Support for ISIS.,11,1
"North Carolina, in Political Flux, Battles for Its Identity.",13,1
Envoys Visit a Top Islamist Inside a Jail Near Cairo.,14,0
Ugly From the Outset: Hong Kong’s Day of Widespread Violence.,17,1
Thin Line for Group of Muslims in Egypt.,10,0
"Krzysztof Penderecki, Polish Composer With Cinematic Flair, Dies at 86.",19,0
"Patricia Wald, First Woman to Preside Over D.C. Appeals Court, Dies at 90.",23,0
South Africa Unions’ Strike Suspended.,8,0
Dutch Referendum Rejects Trade Deal Between E.U. and Ukraine.,16,0
"For One Family in Houston, an Overwhelming Start to Recovery.",14,1
"Meghan, Duchess of Sussex, Gives Birth to a Boy.",13,1
Moms and Daughters Debate Gender Factor in Hillary Clinton’s Bid.,15,1
"Pope Francis Names 17 New Cardinals, Including 3 Americans.",15,0
Two Koreas to Discuss Restoring Economic Ties.,11,0
Comey Asks Justice Dept. to Reject Trump’s Wiretapping Claim.,18,1
Egyptian Presidential Candidate Carries Banner of the Old Order.,12,0
A Lottery in Hard Times Puts Spaniards to Work.,11,0
Hacking Cases Focus on Memo to a Murdoch.,11,1
"Overlooked No More: Fannie Farmer, Modern Cookery’s Pioneer.",16,0
From Cuba to Miami by Providence and a Homemade Boat.,12,1
Russian Jet Crashes Off Syria While Trying to Land on Carrier Kuznetsov.,16,0
Pakistan Runs Out of Options as India Tightens Grip on Kashmir.,14,0
One More Relationship Tested by the Pandemic: Siblings.,11,0
3 French Athletes Are Mourned After Argentine Air Crash .,12,0
"Vague on Details, Trump Is Betting on ‘Special Bond’ With Kim to Deliver Deal.",20,1
Rougher Road for Democrats With Obama Off Ticket.,11,1
"In Honduras, a Spiritual and Political Awakening for Tim Kaine.",14,1
Quake Threatens to Cause Flight From Mexico City’s Hip Neighborhoods.,17,0
Returning to Civilian life.,6,0
Scandal in Brazil Raises Fear of Turmoil’s Return.,14,1
"To Many in Crimea, Corruption Seems No Less at Home Under Russian Rule.",16,0
Texas Pauses Reopening as Virus Cases Soar Across the South and West.,17,1
"U.S. Troops, Back in Iraq, Train a Force to Fight ISIS.",18,0
Carson Is New Sign Trump Plans to Govern From the Right.,13,1
U.S. Indicts Members of Powerful Honduran Family.,14,0
Battle for Congress Comes to an End.,9,1
Deals Flow to Contractor Tied to Mexican President.,10,1
"Amid Modi’s Centrist Shift, an Aide With a Turbulent Past Rises.",18,0
"After Push in Marja, Marines Try to Win Trust.",13,0
"British Citizen One Day, Illegal Immigrant the Next.",11,1
G.O.P. Governors Warn Party Members in Congress Not to Shut Government.,18,0
Judge Orders Hospital to Remove Pregnant Woman From Life Support.,12,1
"Where the Booze Can Kill, and Putin Is Deemed a ‘Good Czar’.",18,1
Synagogue’s Mix of Arts and Religion Helps Shape Jewish Life in Washington.,18,0
Senior ISIS Strategist and Spokesman Is Reported Killed in Syria.,14,1
Egypt Military and Protesters Dig In for a Long Standoff.,14,1
How Joe Biden Became the Unlikeliest of Online Fund-Raising Superstars.,16,1
Unskilled and Destitute Are Hiring Targets for Fukushima Cleanup.,13,1
Taliban Fighters Killed in Airstrike.,10,0
"In Thailand’s Schools, Vestiges of Military Rule.",13,0
Demonstration at Arizona Border Divides Supporters of Immigration Overhaul.,13,0
"Angela Merkel Is Seen Shaking Again, but Spokesman Insists She’s Fine.",19,0
Ex-Yemeni Leader Urges Truce and Successor’s Ouster.,18,0
"As U.S. Leaves Allies in Syria, Kurdish Commander Struggles With Fallout.",18,1
House Panel Approves Contempt for Barr After Trump Claims Privilege Over Full Mueller Report.,18,1
Egypt Crisis Finds Washington Largely Ambivalent and Aloof.,14,1
Ben Carson of HUD on His Vexing Reign: Brain Surgery Was Easier Than This.,18,1
"Cardinal Francis E. George, 78, Dies; Urged ‘Zero Tolerance’ in Abuse Scandal.",23,0
Central African Republic: Hospital Raid.,8,0
One of the Deadliest Places on the Southwest Border.,12,0
"At U.N. Assembly, Sri Lankan Leader Aims to Lift Country’s Stature .",20,0
Russia Is Quick to Bend Truth About Ukraine.,10,1
"In Flood-Hit Midwest, Mayors See Climate Change as a Subject Best Avoided.",19,0
Coffee and Cots as Houston Houses Thousands in a Convention Center.,13,1
Next Fight for Gay Rights: Bias in Jobs and Housing.,13,1
"Stirling Moss, One of the Greatest Drivers of All Time, Dies at 90.",20,0
Michigan Naming Fiscal Manager to Help Detroit.,9,1
AT&T Helped U.S. Spy on Internet on a Vast Scale.,17,1
"Ukraine’s Leader, Wiser to Washington, Seeks New Outreach to Trump.",18,0
Biden Urges D.N.C. to Reject Grim Election Forecast.,16,0
Cockpit Recordings Retrieved in EgyptAir Flight 804 Investigation.,15,0
"As U.N. Gathers, Taiwan, Frozen Out, Struggles to Get Noticed.",21,0
Suicide Attack in Afghanistan Kills at Least 14 at Wrestling Match.,15,0
Uganda Tries to Counter Harsh Image in Web Video.,11,0
Algerians Find Many More Dead at Hostage Site.,12,1
"Sondland Updates Impeachment Testimony, Describing Ukraine Quid Pro Quo.",17,1
A Secretive Path to Raising U.S. Flag in Cuba.,15,1
Congress Sees Rising Urgency on Fiscal Deal.,10,1
California Resolute in Sanctuary Status as a Heated Case Ends.,13,0
U.N. Panel Links Russia to Potential War Crime in Syria.,15,0
Florida Struggles to Overcome Threats to Freshwater Springs.,11,0
U.S. Indicts 7 Iranians in Cyberattacks on Banks and a Dam.,20,0
"Young and Connected, ‘Office Plankton’ Protesters Surprise Russia.",15,0
Kyrgyzstan President Says He Will Not Step Down.,12,0
Seven Days in January: How Trump Pushed U.S. and Iran to the Brink of War.,22,1
"At Internment Camp, Exploring Choices of the Past.",12,0
BBC Fires Danny Baker Over Racist Royal Baby Tweet.,12,0
Leader’s Arrest in Ivory Coast Ends Standoff.,12,1
Wisconsin Decides Not to Enforce Voter ID Law.,12,0
"In a World ‘So Upside Down,’ the Virus Is Taking a Toll on Young People’s Mental Health.",23,0
"Catching Scent of Revolution, China Moves to Snip Jasmine.",13,1
‘It’s Totally Ad Hoc’: Why America’s Virus Response Looks Like a Patchwork.,21,0
"As ‘Sextortion’ Proliferates, Victims Find Precarious Place in Legal System.",21,0
Ratings Shrink President’s List for Judgeships.,11,1
Former President Michel Temer of Brazil Is Arrested in Bribery Probe.,15,0
China Hails North Korean Leader as He Tours Country.,12,0
"Boehner Pledges to Avoid Default, Republicans Say.",14,1
Frustrated Strivers  in Pakistan Turn to Jihad.,12,1
Hong Kong Protesters Consider Taking Their Grievances to Beijing.,13,0
Basque Group Is Said to Disable Some of Its Arms.,13,0
French Court Convicts Continental in Concorde Disaster.,11,0
"Good Friends, Same Party but Legal Opponents.",11,1
‘Yes’ for Texas Governor Is ‘No’ to Washington.,14,1
Pakistan City’s Affluent Women Bring Islam Into Their Lives and Lifestyles.,17,0
"Trump Wants U.S. ‘Opened Up’ by Easter, Despite Health Officials’ Warnings.",20,1
How the U.S. Uses Technology to Mine More Data More Quickly.,16,1
A Former Hostage Worries for Those Left Behind in the Desert.,15,0
Administration Plays to Young in Health Push.,9,1
"Candidates Stick to Script, if Not the Truth, in the 2016 Race.",20,1
Violence Erupts in Greece as Migrants Try to Cross Into Macedonia.,15,0
"Obama Faults F.B.I. on Emails, Citing ‘Incomplete Information’.",19,1
"As Deadly Floods Engulf Nepal Border, Anger Turns to India.",15,0
"With Longer Reach, Rockets Bolster Hamas Arsenal.",11,1
Hillary Clinton Races to Close Enthusiasm Gap With Bernie Sanders in Iowa.,15,1
"Macron Has Spent $31,000 to Keep Looking Young Since Taking Office.",20,0
"After Forming Deep Roots in U.S., Man Discovers He Isn’t a Citizen.",20,0
"Death Toll Rising, 2 Sides Sign Pact to End South Sudan War.",16,0
U.N. Investigators Press North Koreans to Allow a Visit.,14,0
"In Church Attics, Clues to the Private Life of Early America.",15,1
"Donald Trump, Losing Ground, Tries to Blame the System.",13,1
"Amtrak Train Crash Leaves 2 Dead, Officials Say.",13,0
Activists in Arab World Vie to Define Islamic State.,12,1
Chicago’s Intern ‘Boot Camp’ Is a Rehearsal for Life or Death Medical Issues.,20,0
Woman Says Dennis Hastert Abused Her Brother in High School.,14,0
Hong Kong Legislature Rejects Beijing-Backed Election Plan.,13,0
Karzai Calls on U.S. to Pull Back as Taliban Cancel Talks.,17,1
Whitey Bulger Is Dead in Prison at 89; Long-Hunted Boston Mob Boss.,22,1
Removal of Chávez Images From Venezuela Capitol Raises Tension.,11,0
"People Sought in Bangkok Bombing May Have Fled Country, Police Say.",17,0
Olympics Security Worries U.S. Officials.,12,0
Justice Department Accuses A.C.L.U. of Misconduct in Abortion Case.,20,0
Indiana Economy Offers Caution and Inspiration as Primary Nears.,12,0
"Robert Mugabe Hounds Rivals in Zimbabwe, Parties Say.",12,1
"In Obama’s Speeches, a Shifting Tone on Terror.",13,0
"In 2 States, Corner Cannabis Store Nears Reality.",13,1
"Arlene Gottfried, Photographer Who Found the Extraordinary in the Ordinary, Dies at 66.",20,0
Trump Has Discussed With Advisers Pardons for His 3 Eldest Children and Giuliani.,20,1
Misery Follows as Somalis Try to Flee Hunger.,13,1
What the Trump Presidency Means for the Supreme Court.,11,0
An Entry Reserved for Those With Guns.,9,0
Alt-Right Gathering Exults in Trump Election With Nazi-Era Salute.,16,1
Trump Sees Inquiry Into Cohen as Greater Threat Than Mueller.,12,1
"In Haiti, the Displaced Are Left Clinging to the Edge.",16,1
U.S. Imposes Sanctions on Iraqi Militia Leaders and Ex-Governors.,18,0
2 Democrats Split on Tactics to Fight Military Sex Assaults.,13,1
U.S. Widens Role in Battle Against Mexican Drug Cartels.,16,1
Alabama Victory Provides Blueprint for New Bannon Alliance.,11,1
Coverage of Koran Case Stirs Questions on Media Role.,12,1
Egypt Rejects Criticism Over Airstrike That Killed Mexican Tourists.,14,0
"In Daring Underwater Cave Rescue, 4 of 13 Thai Are Freed.",18,1
Senators Returning to Square Off Head to Head Over Replacing Scalia .,15,0
One-Party Control Opens States to Partisan Rush.,12,1
Arab League Stance Muddies U.S. Case.,13,1
The Women Who Helped Donald Trump to Victory.,10,1
"Pandas, U.F.O.s and Other Curiosities from Britain’s National Archives.",23,0
Brawl Erupts During Impeachment Talks in Afghan Parliament.,14,0
Despair and Anger as Puerto Ricans Cope With Debt Crisis.,14,1
Report Criticizes Comey but Finds No Bias in F.B.I. Decision on Clinton.,22,1
"And Now, What Mexico Thinks of Donald Trump.",12,0
Greece Tries to House Migrants as Other Gates Close.,12,0
World Leaders Join to Pledge $8 Billion for Vaccine as U.S. Goes It Alone.,20,0
Ukraine Rebels Are Retreating for Last Stand.,10,1
"In Istanbul’s Heart, Leader’s Obsession, Perhaps Achilles’ Heel.",18,1
"Trampled in a Land Rush, Chinese Resist.",12,1
"Suburbs Rebel Against Trump, Threatening Republicans in Congress.",13,1
North Koreans See Few Gains Below Top Tier.,10,1
How a Radio Shack Robbery Could Spur a New Era in Digital Privacy.,15,1
"In Visiting a Charred California, Trump Confronts a Scientific Reality He Denies.",19,1
Mattis Vows U.S. Will Hold Khashoggi’s Killers Accountable.,20,0
Journalist Who Spread Conspiracy Theories Will Oversee Italy’s State TV.,15,0
Iraqi Parliament Wobbles Over Forming Government.,10,0
Solution to Capping Well Stays Elusive.,10,0
"Overlooked No More: Ni Gusti Ayu Raka Rasmi, Balinese Dancer.",19,0
"Migrants in Israel Face Uncertainty, Despite Oscar.",11,0
Paul Disowns Extremists’ Views but Doesn’t Disavow the Support.,18,1
A Racial Divide Closes as Students Step Up.,10,0
White House Considering Indra Nooyi to Head World Bank.,12,0
"Amid a Revived East-West Chill, Cold War Relics Draw New Interest.",18,0
Reid Apologizes for Remarks on Obama’s Color and ‘Dialect’.,16,1
Making the Safety Net More Visible in Philadelphia.,10,0
"In India, Castes, Honor and Killings Intertwine.",15,1
"U.S. Has Held Meetings With Aide to Taliban Leader, Officials Say.",17,0
India’s Call-Center Talents Put to a Criminal Use: Swindling Americans.,19,1
Mnuchin Blocks U.C.L.A. From Releasing Video of Students Heckling Him.,22,0
Bangladesh Says It Now Knows Who’s Killing the Bloggers.,14,1
A Photo of Billy the Kid Bought for $10 at a Flea Market May Be Worth Millions.,21,0
"In a Company’s Hometown, the Emptiness Echoes.",14,0
"U.S. Suspends Bilateral Agreements With Hong Kong, Escalating Tensions With China.",21,0
The Prayer Circle: Texans Rebuild After Harvey as a Practice of Faith.,15,1
"Defying N.R.A., Florida Lawmakers Back Raising Age Limits on Assault Rifles.",20,1
Wastewater Recycling No Cure-All in Gas Process.,12,1
African Unity Faces a Test in Ivory Coast.,10,1
"Amid Toxic Waste, a Navajo Village Could Lose Its Land.",13,0
"As School Moves Online, Many Students Stay Logged Out.",12,1
Life With Syria’s Rebels in a Cold and Cunning War.,15,1
"With Olympic Flame Out, Russia Fumes Over Its Athletes’ Showing.",15,0
Hillary Clinton Wins South Carolina Primary.,8,1
Political Role for Militants Worsens Fault Lines in Iraq.,13,1
Chinese Province Is Hit by a Series of Earthquakes.,11,0
"In Leaked Lecture, Details of China’s News Cleanups.",15,0
A New Coronavirus Adviser Roils the White House With Unorthodox Ideas.,15,1
War in Iraq Defies U.S. Timetable for End of Combat.,17,1
Virginia Governor Finds Jollity Is No Guarantee Against Gridlock.,14,0
Obama Says Same-Sex Marriage Should Be Legal.,11,1
U.S. to Investigate Discrimination Against Native Students on Montana Reservation.,15,0
U.S. Takes Steps to Add Security at Embassies.,14,0
"Vintage Plane Crashes in Switzerland, Killing All 20 on Board.",16,0
"19 Years and £1 Million Later, a Past Catches Up.",16,1
"Before Super Tuesday, Big Names Rally to Romney.",11,1
A Former Hostage Worries for Those Left Behind in the Desert.,15,0
Chinese Blogger Thrives as Muckraker.,10,0
U.N. Struggles to Stem Haiti Cholera Epidemic.,14,0
Emirates’ Laws Trap a Doctor Just Passing Through.,12,0
Investigators Say Mexico Has Thwarted Efforts to Solve Students’ Disappearance.,15,1
"In California, Home to Many Hate Groups, Officials Struggle to Spot the Next Threat.",18,1
U.S. Is Seeking Death Penalty in Boston Case.,13,1
Fire Kills 38 at Seniors Home in China.,12,0
